id,title,year
754,face/off,1997
10202,bedtime stories,2008
4147,road to perdition,2002
50546,just go with it,2011
1701,con air,1997
13027,eagle eye,2008
2289,cold mountain,2003
20504,the book of eli,2010
9574,flubber,1997
11618,the haunting,1999
2300,space jam,1996
12096,the pink panther,2006
10200,the day the earth stood still,2008
8834,conspiracy theory,1997
228150,fury,2014
6068,six days seven nights,1998
41515,yogi bear,2010
9023,spirit: stallion of the cimarron,2002
38317,zookeeper,2011
2157,lost in space,1998
14462,the manchurian candidate,2004
161795,déjà vu,1998
159824,hotel transylvania 2,2015
49948,fantasia 2000,1999
2135,the time machine,2002
9822,mighty joe young,1998
9705,swordfish,2001
1656,the legend of zorro,2005
12159,what dreams may come,1998
9678,little nicky,2000
4442,the brothers grimm,2005
75,mars attacks!,1996
330770,évolution,2015
9433,the edge,1997
19959,surrogates,2009
11973,thirteen days,2000
11228,daylight,1996
77951,walking with dinosaurs,2013
5491,battlefield earth,2000
10715,looney tunes: back in action,2003
10197,nine,2009
9562,timeline,2003
9922,the postman,1997
9447,babe: pig in the city,1998
274854,the last witch hunter,2015
8870,red planet,2000
9992,arthur et les minimoys,2006
36970,oceans,2009
10077,a sound of thunder,2005
76649,pompeii,2014
293644,don gato: el inicio de la pandilla,2015
453,a beautiful mind,2001
8587,the lion king,1994
72545,journey 2: the mysterious island,2012
109451,cloudy with a chance of meatballs 2,2013
9533,red dragon,2002
2023,hidalgo,2004
71880,jack and jill,2011
584,2 fast 2 furious,2003
309809,the little prince,2015
4858,the invasion,2007
17711,the adventures of rocky & bullwinkle,2000
328111,the secret life of pets,2016
8698,the league of extraordinary gentlemen,2003
93456,despicable me 2,2013
602,independence day,1996
330,the lost world: jurassic park,1997
953,madagascar,2005
9693,children of men,2006
36657,x-men,2000
8909,wanted,2008
9802,the rock,1996
950,ice age: the meltdown,2006
1824,50 first dates,2004
2976,hairspray,2007
11026,exorcist: the beginning,2004
332,inspector gadget,1999
75656,now you see me,2013
38365,grown ups,2010
594,the terminal,2004
15189,hotel for dogs,2009
11678,vertical limit,2000
6538,charlie wilson's war,2007
10555,shark tale,2004
1125,dreamgirls,2006
4551,be cool,2005
612,munich,2005
9567,tears of the sun,2003
37821,killers,2010
203801,the man from u.n.c.l.e.,2015
2539,spanglish,2004
9297,monster house,2006
3172,bandits,2001
6520,first knight,1995
1439,anna and the king,1999
37958,immortals,2011
2026,hostage,2005
7450,titan a.e.,2000
11375,hollywood homicide,2003
9425,soldier,1998
25769,carriers,2009
23685,monkeybone,2001
11866,flight of the phoenix,2004
9741,unbreakable,2000
211672,minions,2015
23629,sucker punch,2011
8688,snake eyes,1998
10153,sphere,1998
153518,the angry birds movie,2016
8676,fool's gold,2008
20829,funny people,2009
4349,the kingdom,2007
9718,talladega nights: the ballad of ricky bobby,2006
10808,dr. dolittle 2,2001
197,braveheart,1995
25,jarhead,2005
35,the simpsons movie,2007
11086,the majestic,2001
10477,driven,2001
1997,deux frères,2004
6947,the village,2004
3050,doctor dolittle,1998
2675,signs,2002
809,shrek 2,2004
920,cars,2006
4806,runaway bride,1999
7451,xxx,2002
228165,the spongebob movie: sponge out of water,2015
3595,ransom,1996
16869,inglourious basterds,2009
879,hook,1991
1573,die hard 2,1990
9257,s.w.a.t.,2003
1903,vanilla sky,2001
9697,lady in the water,2006
395,avp: alien vs. predator,2004
23398,alvin and the chipmunks: the squeakquel,2009
10590,we were soldiers,2002
117263,olympus has fallen,2013
200,star trek: insurrection,1998
44943,battle: los angeles,2011
587,big fish,2003
10395,wolf,1994
57212,war horse,2011
152760,the monuments men,2014
2756,the abyss,1989
33909,wall street: money never sleeps,2010
49017,dracula untold,2014
9882,the siege,1998
2270,stardust,2007
978,seven years in tibet,1997
44564,the dilemma,2011
3132,bad company,2002
8814,doom,2005
8427,i spy,2002
52520,underworld: awakening,2012
80585,rock of ages,2012
10592,hart's war,2002
49021,killer elite,2011
11535,rollerball,2002
10550,ballistic: ecks vs. sever,2002
11258,hard rain,1998
12610,osmosis jones,2001
59981,legends of oz: dorothy's return,2013
201088,blackhat,2015
5137,sky captain and the world of tomorrow,2004
3093,basic instinct 2,2006
107846,escape plan,2013
188207,the legend of hercules,2014
4614,the sum of all fears,2002
24021,the twilight saga: eclipse,2010
11371,the score,2001
20352,despicable me,2010
11517,money train,1995
214756,ted 2,2015
26428,agora,2009
9824,mystery men,1999
48988,hall pass,2011
9008,the insider,1999
300673,the finest hours,2016
12113,body of lies,2008
38778,dinner for schmucks,2010
72331,abraham lincoln: vampire hunter,2012
1844,entrapment,1999
846,the x files,1998
9703,the last legion,2007
857,saving private ryan,1998
136797,need for speed,2014
3981,what women want,2000
425,ice age,2002
6171,dreamcatcher,2003
72976,lincoln,2012
603,the matrix,1999
568,apollo 13,1995
9021,the santa clause 2,2002
82695,les misérables,2012
9489,you've got mail,1998
12133,step brothers,2008
9342,the mask of zorro,1998
41733,due date,2010
227306,unbroken,2014
5551,space cowboys,2000
9350,cliffhanger,1993
9208,broken arrow,1996
4244,the kid,2000
1852,world trade center,2006
11820,mona lisa smile,2003
76493,the dictator,2012
345,eyes wide shut,1999
196867,annie,2014
256591,focus,2015
59962,this means war,2012
36648,blade: trinity,2004
1880,red dawn,1984
9440,primary colors,1998
71679,resident evil: retribution,2012
10483,death race,2008
11412,the long kiss goodnight,1996
11983,proof of life,2000
6795,zathura: a space adventure,2005
550,fight club,1999
11170,we are marshall,2006
9292,hudson hawk,1991
10783,lucky numbers,2000
100241,"i, frankenstein",2014
257,oliver twist,2005
9947,elektra,2005
189,sin city: a dame to kill for,2014
12618,random hearts,1999
253412,everest,2015
1427,perfume: the story of a murderer,2006
818,austin powers in goldmember,2002
16577,astro boy,2009
329,jurassic park,1993
12160,wyatt earp,1994
9331,clear and present danger,1994
300168,天將雄師,2015
9072,little man,2006
3536,u-571,2000
9087,the american president,1995
12177,the love guru,2008
12138,3000 miles to graceland,2001
273248,the hateful eight,2015
9955,blades of glory,2007
50359,hop,2011
1271,300,2006
693,meet the fockers,2004
14306,marley & me,2008
497,the green mile,1999
11199,wild hogs,2007
9982,chicken little,2005
210577,gone girl,2014
2501,the bourne identity,2002
710,goldeneye,1995
2275,the general's daughter,1999
37165,the truman show,1998
9837,the prince of egypt,1998
10708,daddy day care,2003
136400,2 guns,2013
10992,cats & dogs,2001
9654,the italian job,2003
2642,two weeks notice,2002
8916,antz,1998
19899,couples retreat,2009
2119,days of thunder,1990
9641,cheaper by the dozen 2,2005
294254,maze runner: the scorch trials,2015
38167,eat pray love,2010
5994,the family man,2000
39514,red,2010
9563,any given sunday,1999
547,the horse whisperer,1998
1538,collateral,2004
9334,the scorpion king,2002
11128,ladder 49,2004
75780,jack reacher,2012
8914,deep blue sea,1999
13576,michael jackson's this is it,2009
39538,contagion,2011
10628,kangaroo jack,2003
14836,coraline,2009
8645,the happening,2008
9509,man on fire,2004
10067,the shaggy dog,2006
9384,starsky & hutch,2004
9279,jingle all the way,1996
1487,hellboy,2004
9422,a civil action,1998
77174,paranorman,2012
4824,the jackal,1997
9620,paycheck,2003
9302,up close & personal,1996
10199,the tale of despereaux,2008
10771,the tuxedo,2002
3512,under siege 2: dark territory,1995
137094,jack ryan: shadow recruit,2014
274479,joy,2015
267860,london has fallen,2016
8078,alien: resurrection,1997
7485,shooter,2007
170687,the boxtrolls,2014
6435,practical magic,1998
137106,the lego movie,2014
10040,miss congeniality 2: armed and fabulous,2005
6278,reign of fire,2002
82682,gangster squad,2013
17610,year one,2009
22954,invictus,2009
16995,state of play,2009
16558,duplicity,2009
9849,my favorite martian,1999
5820,the sentinel,2006
16866,planet 51,2009
201,star trek: nemesis,2002
11775,intolerable cruelty,2003
87825,trouble with the curve,2012
12201,edge of darkness,2010
11015,the relic,1997
9932,analyze that,2002
13389,righteous kill,2008
8838,mercury rising,1998
17332,the soloist,2009
4958,the legend of bagger vance,2000
786,almost famous,2000
9513,garfield: a tail of two kitties,2006
11679,xxx: state of the union,2005
38321,priest,2011
14411,sinbad: legend of the seven seas,2003
8413,event horizon,1997
10052,dragonfly,2002
9676,the black dahlia,2006
9664,flyboys,2006
2100,the last castle,2001
10384,supernova,2000
137321,winter's tale,2014
123553,the mortal instruments: city of bones,2013
11260,meet dave,2008
9009,dark water,2005
11374,edtv,1999
2309,inkheart,2008
8285,the spirit,2008
210860,mortdecai,2015
2312,in the name of the king: a dungeon siege tale,2007
9839,beyond borders,2003
381902,西游记之孙悟空三打白骨精,2016
13922,the great raid,2005
293660,deadpool,2016
9713,holy man,1998
190859,american sniper,2014
257445,goosebumps,2015
9007,just like heaven,2005
889,the flintstones in viva rock vegas,2000
1370,rambo iii,1988
4942,leatherheads,2008
347969,the ridiculous 6,2015
24438,did you hear about the morgans?,2009
116741,the internship,2013
35791,resident evil: afterlife,2010
72431,red tails,2012
1813,the devil's advocate,1997
87428,that's my boy,2012
8840,dragonheart,1996
10589,after the sunset,2004
71676,ghost rider: spirit of vengeance,2011
1722,captain corelli's mandolin,2001
10022,the pacifier,2005
11358,walking tall,2004
13,forrest gump,1994
6477,alvin and the chipmunks,2007
1597,meet the parents,2000
10530,pocahontas,1995
1924,superman,1978
9327,the nutty professor,1996
8488,hitch,2005
10603,george of the jungle,1997
8273,american wedding,2003
109424,captain phillips,2013
35056,date night,2010
8839,casper,1995
156022,the equalizer,2014
7303,maid in manhattan,2002
8963,crimson tide,1995
1402,the pursuit of happyness,2006
9315,flightplan,2005
8984,disclosure,1994
795,city of angels,1998
24,kill bill: vol. 1,2003
11353,bowfinger,1999
393,kill bill: vol. 2,2004
9618,tango & cash,1989
9374,death becomes her,1992
8584,shanghai noon,2000
2320,executive decision,1996
58224,mr. popper's penguins,2011
1729,the forbidden kingdom,2008
175574,free birds,2013
8077,alien³,1992
8818,evita,1996
8195,ronin,1998
10586,the ghost and the darkness,1996
116149,paddington,2014
80035,the watch,2012
10632,the hunted,2003
12117,instinct,1999
1792,stuck on you,2003
13260,semi-pro,2008
72197,the pirates! in an adventure with scientists!,2012
3580,changeling,2008
12123,chain reaction,1996
9566,the fan,1996
9833,the phantom of the opera,2004
4517,elizabeth: the golden age,2007
8202,æon flux,2005
16072,gods and generals,2003
34314,turbulence,1997
19724,imagine that,2009
145220,muppets most wanted,2014
14623,thunderbirds,2004
42297,burlesque,2010
2841,un long dimanche de fiançailles,2004
802,lolita,1962
10375,d-tox,2002
36586,blade ii,2002
11321,seven pounds,2008
70074,bullet to the head,2013
242,the godfather: part iii,1990
9621,elizabethtown,2005
1819,"you, me and dupree",2006
8536,superman ii,1980
8046,gigli,2003
1717,all the king's men,2006
479,shaft,2000
9444,anastasia,1997
824,moulin rouge!,2001
11456,domestic disturbance,2001
261023,black mass,2015
3683,flags of our fathers,2006
22803,law abiding citizen,2009
285923,grindhouse,2007
39437,beloved,1998
1950,lucky you,2007
640,catch me if you can,2002
97630,zero dark thirty,2012
9767,the break-up,2006
11631,mamma mia!,2008
32856,valentine's day,2010
6519,the dukes of hazzard,2005
8741,the thin red line,1998
49520,the change-up,2011
1850,man on the moon,1999
524,casino,1995
26389,from paris with love,2010
11817,bulletproof monk,2003
2123,"me, myself & irene",2000
9907,barnyard,2006
9969,deck the halls,2006
18239,the twilight saga: new moon,2009
808,shrek,2001
38050,the adjustment bureau,2011
8367,robin hood: prince of thieves,1991
9390,jerry maguire,1996
72105,ted,2012
2898,as good as it gets,1997
10312,patch adams,1998
109443,anchorman 2: the legend continues,2013
2022,mr. deeds,2002
37686,super 8,2011
462,erin brockovich,2000
9919,how to lose a guy in 10 days,2003
187017,22 jump street,2014
628,interview with the vampire,1994
10201,yes man,2008
302699,central intelligence,2016
9441,stepmom,1998
274167,daddy's home,2015
224141,into the woods,2014
388,inside man,2006
2112,payback,1999
10329,congo,1995
74465,we bought a zoo,2011
13811,knowing,2009
6877,failure to launch,2006
10320,the ring two,2005
50646,"crazy, stupid, love.",2011
8920,garfield,2004
13673,christmas with the kranks,2004
60308,moneyball,2011
6950,outbreak,1995
225574,non-stop,2014
13836,race to witch mountain,2009
752,v for vendetta,2006
6038,shanghai knights,2003
9975,curious george,2006
11451,herbie fully loaded,2005
12103,don't say a word,2001
60304,hansel & gretel: witch hunters,2013
2251,unfaithful,2002
46529,i am number four,2011
231,syriana,2005
300671,13 hours: the secret soldiers of benghazi,2016
228326,the book of life,2014
9754,firewall,2006
66,absolute power,1997
4421,g.i. jane,1997
2649,the game,1997
588,silent hill,2006
10393,the replacements,2000
71552,american reunion,2012
9631,the negotiator,1998
216282,into the storm,2014
306,beverly hills cop iii,1994
928,gremlins 2: the new batch,1990
205587,the judge,2014
6623,the peacemaker,1997
1577,resident evil: apocalypse,2004
9801,bridget jones: the edge of reason,2004
2116,out of time,2003
9624,on deadly ground,1994
14199,the adventures of sharkboy and lavagirl,2005
1907,the beach,2000
4599,raising helen,2004
22832,ninja assassin,2009
10390,for love of the game,1999
9879,striptease,1996
38579,marmaduke,2010
44603,hereafter,2010
11892,murder by numbers,2002
9691,assassins,1995
1248,hannibal rising,2007
12220,the story of us,1999
72710,the host,2013
10782,basic,2003
9573,blood work,2002
4959,the international,2009
10061,escape from l.a.,1996
10386,the iron giant,1999
421,the life aquatic with steve zissou,2004
316152,free state of jones,2016
11615,the life of david gale,2003
13498,man of the house,2005
241554,run all night,2015
2252,eastern promises,2007
11968,into the blue,2005
10047,joan of arc,1999
38319,your highness,2011
69668,dream house,2011
9770,mad city,1997
11212,baby's day out,1994
10533,the scarlet letter,1995
38363,fair game,2010
9923,domino,2005
11863,jade,1995
18501,gamer,2009
109491,beautiful creatures,2013
9275,death to smoochy,2002
329833,zoolander 2,2016
12634,the big bounce,2004
10416,what planet are you from?,2000
47327,drive angry,2011
15268,street fighter: the legend of chun-li,2009
10796,the one,2001
9548,the adventures of ford fairlane,1990
18947,the boat that rocked,2009
1900,traffic,2000
89,indiana jones and the last crusade,1989
96724,anna karenina,2012
198184,chappie,2015
9481,the bone collector,1999
4547,panic room,2002
53953,the tooth fairy,2006
6415,three kings,1999
181283,child 44,2015
9896,rat race,2001
167,k-pax,2001
11232,kate & leopold,2001
1636,bedazzled,2000
2148,the cotton club,1984
5176,3:10 to yuma,2007
260346,taken 3,2014
1389,out of sight,1998
9894,the cable guy,1996
7504,1947: earth,1998
8592,dick tracy,1990
913,the thomas crown affair,1999
11091,riding in cars with boys,2001
1368,first blood,1982
593,солярис,1972
5393,happily n'ever after,2006
9095,mary reilly,1996
8874,my best friend's wedding,1997
11467,america's sweethearts,2001
320,insomnia,2002
199,star trek: first contact,1996
20533,jonah hex,2010
10684,courage under fire,1996
1624,liar liar,1997
325789,the infiltrator,2016
113464,inchon,1981
888,the flintstones,1994
82675,taken 2,2012
4256,scary movie 3,2003
1493,miss congeniality,2000
88751,journey to the center of the earth,2008
11130,the princess diaries 2: royal engagement,2004
9944,the pelican brief,1993
10731,the client,1994
7350,the bucket list,2007
9869,patriot games,1992
4379,monster-in-law,2005
146233,prisoners,2013
2034,training day,2001
926,galaxy quest,1999
4248,scary movie 2,2001
64328,the muppets,2011
36647,blade,1998
7214,coach carter,2005
1537,changing lanes,2002
9360,anaconda,1997
6282,coyote ugly,2000
508,love actually,2003
9487,a bug's life,1998
768,from hell,2001
2636,the specialist,1994
10478,tin cup,1996
27983,"yours, mine and ours",1968
9981,kicking & screaming,2005
7453,the hitchhiker's guide to the galaxy,2005
15045,fat albert,2004
7737,resident evil: extinction,2007
232672,blended,2014
17379,last holiday,2006
8987,the river wild,1994
11359,the indian in the cupboard,1995
82525,savages,2012
9759,cellular,2004
9486,johnny english,2003
9906,the ant bully,2006
841,dune,1984
4688,across the universe,2007
4148,revolutionary road,2008
2207,16 blocks,2006
9381,babylon a.d.,2008
9625,the glimmer man,1996
9304,multiplicity,1996
20856,aliens in the attic,2009
5955,the pledge,2001
9899,the producers,2005
9826,the phantom,1996
21355,all the pretty horses,2000
10858,nixon,1995
